600604.sh	*ST二纺机
600605.sh	汇通能源
600606.sh	金丰投资
600607.sh	上实医药
600608.sh	ST沪科
600609.sh	金杯汽车
600610.sh	SST中纺
600611.sh	大众交通
600612.sh	中国铅笔
600613.sh	永生数据
600614.sh	鼎立股份
600615.sh	丰华股份
600616.sh	金枫酒业
600617.sh	ST联华
600618.sh	氯碱化工
600619.sh	海立股份
600620.sh	天宸股份
600621.sh	上海金陵
600622.sh	嘉宝集团
600623.sh	双钱股份
600624.sh	复旦复华
600626.sh	申达股份
600627.sh	上电股份
600628.sh	新世界
600629.sh	棱光实业
600630.sh	龙头股份
600631.sh	百联股份
600633.sh	*ST白猫
600634.sh	海鸟发展
600635.sh	大众公用
600636.sh	三爱富
600637.sh	广电信息
600638.sh	新黄浦
600639.sh	浦东金桥
600640.sh	中卫国脉
600641.sh	万业企业
600642.sh	申能股份
600643.sh	爱建股份
600644.sh	乐山电力
600645.sh	ST中源
600647.sh	同达创业
600648.sh	外高桥
600649.sh	城投控股
600650.sh	锦江投资
600651.sh	飞乐音响
600652.sh	爱使股份
600653.sh	申华控股
600654.sh	飞乐股份
600655.sh	豫园商城
600656.sh	ST方源
600657.sh	信达地产
600658.sh	兆维科技
600660.sh	福耀玻璃
600661.sh	新南洋
600662.sh	强生控股
600663.sh	陆家嘴
600664.sh	哈药股份
600665.sh	天地源
600666.sh	西南药业
600667.sh	太极实业
600668.sh	尖峰集团
600671.sh	天目药业
600673.sh	东阳光铝
600674.sh	川投能源
600675.sh	中华企业
600676.sh	交运股份
600677.sh	航天通信
600678.sh	ST金顶
600679.sh	金山开发
600680.sh	上海普天
600682.sh	南京新百
600683.sh	银泰股份
600684.sh	珠江实业
600685.sh	广船国际
600686.sh	金龙汽车
600687.sh	华盛达
600688.sh	S上石化
600689.sh	上海三毛
600690.sh	青岛海尔
600691.sh	ST东碳
600692.sh	亚通股份
600693.sh	东百集团
600694.sh	大商股份
600695.sh	大江股份
600696.sh	多伦股份
600697.sh	欧亚集团
600698.sh	ST轻骑
600699.sh	ST得亨
600701.sh	*ST工新
600702.sh	沱牌曲酒
600703.sh	三安光电
600704.sh	中大股份
600706.sh	ST长信
600707.sh	彩虹股份
600708.sh	海博股份
600710.sh	常林股份
600711.sh	ST雄震
600712.sh	南宁百货
600713.sh	南京医药
600714.sh	ST金瑞
600715.sh	ST松辽
600716.sh	ST耀华
600717.sh	天津港
600718.sh	东软集团
600719.sh	大连热电
600720.sh	祁连山
600721.sh	ST百花
600722.sh	ST金化
600723.sh	西单商场
600724.sh	宁波富达
600725.sh	云维股份
600726.sh	华电能源
600727.sh	*ST鲁北
