#symbol,announce_date,alloc_stock,alloc_price,total_share,x_date,registration_date,paydate_start,paydate_end,list_date,amount
600148.sh,20010327,1.67,9,13469.4,20010223,20010222,20010223,20010309,20010330,61402050,
600150.sh,20050620,3.00,,24149.31,,,,,,,
600151.sh,20090723,3.00,0,74854.4,,,,,,0,
600151.sh,20010104,3.00,15,27200,20001215,20001214,20001215,20001228,20010108,306000000,
600152.sh,20050621,3.00,,29349.42,,,,,,,
600152.sh,20021130,3.00,,29349.42,,,,,,,
600152.sh,20000907,1.50,7,27236.92,20000811,20000810,20000811,20000825,20000912,147875000,
600153.sh,20090731,3.00,0,124319.49,,,,,,0,
600153.sh,20000912,2.31,12,24050,20000727,20000726,20000727,20000809,20000915,666000000,
600155.sh,20020913,3.00,,41250,,,,,,,
600155.sh,20001230,2.31,12,26000,20001213,20001212,20001213,20001226,20010105,180000000,
600156.sh,20000825,2.31,9,41340,20000719,20000718,20000719,20000801,20000830,229500000,
600157.sh,20011103,3.00,,17044.62,,,,,,,
600157.sh,19991019,3.00,,,,,,,,,
600158.sh,20000928,3.00,18,18000,20000901,20000831,20000901,20000914,20001010,272052000,
600159.sh,20010308,2.31,10,20800,20010108,20010105,20010108,20010119,20010313,138000000,
600160.sh,20010905,3.00,10.5,34100,20010807,20010806,20010807,20010820,20010907,317100000,
600162.sh,20000920,2.73,7,15015,20000824,20000823,20000824,20000906,20000925,180180000,
600163.sh,20030226,3.00,,30594.66,,,,,,,
600163.sh,20001011,3.00,8.5,27808,20000829,20000828,20000829,20000911,20001016,236866440,
600165.sh,20010306,3.00,9,21360,20010206,20010205,20010206,20010219,20010309,194400000,
600166.sh,20030328,3.00,9.35,28046.6,20030311,20030310,20030311,20030324,20030402,224400000,
600166.sh,20000905,2.31,10,25235.6,20000811,20000810,20000811,20000824,20000908,281100000,
600168.sh,20000916,2.50,10,40800,20000817,20000816,20000817,20000831,20000921,331500000,
600169.sh,20001121,2.00,6.2,34817.24,20001025,20001024,20001025,20001107,20001124,148800000,
600170.sh,20011117,3.00,8.5,53700,20011015,20011012,20011015,20011026,20011121,530527500,
